Time =            474500000, Counter = 914, amp = 73, Data_out =  28280
Time =            475500000, Counter = 95, amp = 129, Data_out =  37575
Time =            476500000, Counter = 300, amp = 147, Data_out =  46466
Time =            477500000, Counter = 505, amp = 97, Data_out =  42720
Time =            478500000, Counter = 710, amp = 51, Data_out =  31472
Time =            479500000, Counter = 915, amp = 73, Data_out =  28390
Time =            480500000, Counter = 96, amp = 129, Data_out =  37750
Time =            481500000, Counter = 301, amp = 147, Data_out =  46566
Time =            482500000, Counter = 506, amp = 97, Data_out =  42686
Time =            483500000, Counter = 711, amp = 51, Data_out =  31426
Time =            484500000, Counter = 916, amp = 73, Data_out =  28408
Time =            485500000, Counter = 97, amp = 129, Data_out =  37752
Time =            486500000, Counter = 302, amp = 147, Data_out =  46595
Time =            487500000, Counter = 507, amp = 97, Data_out =  42675
Time =            488500000, Counter = 712, amp = 51, Data_out =  31424
Time =            489500000, Counter = 917, amp = 73, Data_out =  28408
Time =            490500000, Counter = 98, amp = 129, Data_out =  37766
Time =            491500000, Counter = 303, amp = 147, Data_out =  46594
Time =            492500000, Counter = 508, amp = 97, Data_out =  42672
Time =            493500000, Counter = 713, amp = 51, Data_out =  31424
Time =            494500000, Counter = 918, amp = 73, Data_out =  28412
Time =            495500000, Counter = 99, amp = 129, Data_out =  37776
Time =            496500000, Counter = 304, amp = 147, Data_out =  46588
